route,method,action,middleware,public,auth_mode,expected,actual_status,result,evidence
api/book-sales,GET,App\Modules\Inventory\Http\Controllers\BookController@sales,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,200,PASS,"GET /api/book-sales -> 200 [{""id"":""46261c40-49b4-4e4b-a34b-7a3be53bc149"",""book_id"":""2835bfc1-0f5e-413d-b642-13d762faf76c"",""quan"
api/book-sales/{saleId}/refund,POST,App\Modules\Inventory\Http\Controllers\BookController@refund,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"POST /api/book-sales/46261c40-49b4-4e4b-a34b-7a3be53bc149/refund -> 401 {""message"":""Unauthenticated.""}"
api/book-sales/{saleId}/refund,POST,App\Modules\Inventory\Http\Controllers\BookController@refund,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"POST /api/book-sales/46261c40-49b4-4e4b-a34b-7a3be53bc149/refund -> 401 {""message"":""Unauthenticated.""}"
api/book-sales/{saleId}/refund,POST,App\Modules\Inventory\Http\Controllers\BookController@refund,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,409,PASS,"POST /api/book-sales/46261c40-49b4-4e4b-a34b-7a3be53bc149/refund -> 409 {""message"":""Sale already refunded""}"
api/book-sales/{saleId}/refund,POST,App\Modules\Inventory\Http\Controllers\BookController@refund,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,409,PASS,"POST /api/book-sales/46261c40-49b4-4e4b-a34b-7a3be53bc149/refund -> 409 {""message"":""Sale already refunded""}"
api/books,GET,App\Modules\Inventory\Http\Controllers\BookController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"GET /api/books -> 401 {""message"":""Unauthenticated.""}"
api/books,GET,App\Modules\Inventory\Http\Controllers\BookController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"GET /api/books -> 401 {""message"":""Unauthenticated.""}"
api/books,GET,App\Modules\Inventory\Http\Controllers\BookController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,200,PASS,"GET /api/books -> 200 [{""id"":""aee7d162-88a4-4db1-bc69-4ada82787bac"",""title"":""Barron's TOEFL iBT"",""price"":1200,""purchase_pr"
api/books,GET,App\Modules\Inventory\Http\Controllers\BookController@index,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,200,PASS,"GET /api/books -> 200 [{""id"":""aee7d162-88a4-4db1-bc69-4ada82787bac"",""title"":""Barron's TOEFL iBT"",""price"":1200,""purchase_pr"
api/books,POST,App\Modules\Inventory\Http\Controllers\BookController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"POST /api/books -> 401 {""message"":""Unauthenticated.""}"
api/books,POST,App\Modules\Inventory\Http\Controllers\BookController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"POST /api/books -> 401 {""message"":""Unauthenticated.""}"
api/books,POST,App\Modules\Inventory\Http\Controllers\BookController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,422,PASS,"POST /api/books -> 422 {""message"":""The title field is required. (and 2 more errors)"",""errors"":{""title"":[""The title field is"
api/books,POST,App\Modules\Inventory\Http\Controllers\BookController@store,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,422,PASS,"POST /api/books -> 422 {""message"":""The title field is required. (and 2 more errors)"",""errors"":{""title"":[""The title field is"
api/books/{id}/restock,POST,App\Modules\Inventory\Http\Controllers\BookController@restock,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/restock -> 401 {""message"":""Unauthenticated.""}"
api/books/{id}/restock,POST,App\Modules\Inventory\Http\Controllers\BookController@restock,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/restock -> 401 {""message"":""Unauthenticated.""}"
api/books/{id}/restock,POST,App\Modules\Inventory\Http\Controllers\BookController@restock,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,422,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/restock -> 422 {""message"":""The quantity field is required."",""errors"":{""quantity"":[""The quantity field is required."""
api/books/{id}/restock,POST,App\Modules\Inventory\Http\Controllers\BookController@restock,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,limited,never 5xx,422,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/restock -> 422 {""message"":""The quantity field is required."",""errors"":{""quantity"":[""The quantity field is required."""
api/books/{id}/sell,POST,App\Modules\Inventory\Http\Controllers\BookController@sell,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,noauth,401,401,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/sell -> 401 {""message"":""Unauthenticated.""}"
api/books/{id}/sell,POST,App\Modules\Inventory\Http\Controllers\BookController@sell,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,badauth,401,401,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/sell -> 401 {""message"":""Unauthenticated.""}"
api/books/{id}/sell,POST,App\Modules\Inventory\Http\Controllers\BookController@sell,"api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\ApiVersioning,App\Http\Middleware\ApiRateLimiter:default",False,admin,never 5xx,422,PASS,"POST /api/books/2835bfc1-0f5e-413d-b642-13d762faf76c/sell -> 422 {""message"":""The quantity field is required. (and 1 more error)"",""errors"":{""quantity"":[""The quantity "
